population,response,n,mean_change_pp,w_statistic,p_value_descriptive
b_cell,yes,331,-0.5268399729227086,23151.0,0.01311744106385613
b_cell,no,325,0.33256696289372967,24542.0,0.2511279001993668
cd8_t_cell,yes,331,0.21126377061920454,27073.0,0.818421535501829
cd8_t_cell,no,325,-0.07176705665015272,26242.0,0.8848562558621467
cd4_t_cell,yes,331,0.9164706299770051,22871.0,0.008259641001014943
cd4_t_cell,no,325,0.3282266897087029,25572.0,0.5891719632130421
nk_cell,yes,331,-0.5732380185048984,24409.0,0.0786540696765556
nk_cell,no,325,-0.21087112396214894,24649.0,0.2781445791065479
monocyte,yes,331,-0.027656409168602455,27149.0,0.8524790539896747
monocyte,no,325,-0.3781554719901311,24894.0,0.3472299283154502
